COD;CAUSA
A000;Colera dev Vibrio cholerae 01 biot cholerae
A001;Colera dev Vibrio cholerae 01 biot El Tor
A009;Colera NE
A010;Febre tifoide
A011;Febre paratifoide A
A012;Febre paratifoide B
A013;Febre paratifoide C
A014;Febre paratifoide NE
A020;Enterite p/salmonela
A021;Septicemia p/salmonela
A022;Infecc localizadas p/salmonela
A028;Outr infecc espec p/salmonela
A029;Infecc NE p/salmonela
A030;Shiguelose dev Shigella dysenteriae
A031;Shiguelose dev Shigella flexneri
A032;Shiguelose dev Shigella boydii
A033;Shiguelose dev Shigella sonnei
A038;Outr shigueloses
A039;Shiguelose NE
A040;Infecc p/Escherichia coli enteropatogenica
A041;Infecc p/Escherichia coli enterotoxigenica
A042;Infecc p/Escherichia coli enteroinvasiva
A043;Infecc p/Escherichia coli enterohemorragica
A044;Outr infecc intestinais p/Escherichia coli
A045;Enterite p/Campylobacter
A046;Enterite dev Yersinia enterocolitica
A047;Enterocolite dev Clostridium difficile
A048;Outr infecc bacter intestinais espec
A049;Infecc intestinal bacter NE
A050;Intox alimentar estafilococica
A051;Botulismo
A052;Intox alimentar dev Clostridium perfringens
A053;Intox alimentar dev Vibrio parahemolyticus
A054;Intox alimentar dev Bacillus cereus
A058;Outr intox alimentares bacter espec
A059;Intox alimentar bacter NE
A060;Disenteria amebiana aguda
A061;Amebiase intestinal cronica
A062;Colite amebiana nao-disenterica
A063;Ameboma intestinal
A064;Abscesso amebiano do figado
A065;Abscesso amebiano do pulmao
A066;Abscesso amebiano do cerebro
A067;Amebiase cutanea
A068;Infecc amebiana de outr localiz
A069;Amebiase NE
A070;Balantidiase
A071;Giardiase
A072;Criptosporidiose
A073;Isosporiase
A078;Outr doenc intestinais espec p/protozoarios
A079;Doenc intestinal NE p/protozoarios
A080;Enterite p/rotavirus
A081;Gastroenteropatia aguda p/agente de Norwalk
A082;Enterite p/adenovirus
A083;Outr enterites virais
A084;Infecc intestinal dev virus NE
A085;Outr infecc intestinais espec
A09;Diarreia e gastroenterite orig infecc presum
A150;Tuberc pulm c/conf p/ex micr expec c/s/cult
A151;Tuberc pulmonar c/conf somente p/cultura
A152;Tuberc pulmonar c/conf histolog
A153;Tuberc pulmonar c/conf p/meio NE
A154;Tuberc gangl intrator c/conf bacter e histol
A155;Tuberc laring traq bronq c/conf bact e hist
A156;Pleuris tuberc c/conf bacteriol e histolog
A157;Tuberc prim vias respir c/conf bact e histol
A158;Outr form tuberc via resp c/conf bact hist
A159;Tuberc NE vias respir c/conf bacter histol
A160;Tuberc pulmonar c/exames bact e hist negat
A161;Tuberc pulmonar s/exame bacter ou histolog
A162;Tuberc pulmonar s/menc conf bact ou hist
A163;Tuberc gangl intrat s/menc conf bact hist
A164;Tuberc laring traq bronq s/menc bact hist
A165;Pleurisia tuberc s/menc conf bact ou histol
